step,reward,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15
0,0.9127220489156502,False,False,-0.0014575836226512066,0.02456638552339522,-0.0016445369103717379,0.9999994141602646,-0.00041098474468220537,0.0010011715686201474,-2.064358184960426e-05,0.4974786643330894,-0.04929117884337033,10.428836774961594,1.0,1.0,0.0,0.0,-0.028421366033031283,-0.02894388156318809
1,1.1858593410324343,False,False,-0.003685607463105703,0.038778706826205295,-0.023123204916448422,0.9999708670350257,-0.0012505524639894777,0.00707207643665062,-0.002585910792756264,0.5733872510698558,0.5224522869893282,10.468186791081363,1.0,1.0,0.0,0.0,-0.041918672046274946,-0.04262372134481739
2,1.3826466395542087,False,False,0.3171895480121233,0.1444203045516246,2.7198250059987705,0.9830845987450278,0.03725135396632106,0.047150863331443034,0.17301388506447454,-1.3680919414316803,0.9642741555706628,12.69359659168058,1.0,1.0,0.0,-9.616926073502727e-05,-0.0003554794920823945,0.0033006577871504787
3,2.114799388395351,False,False,-0.7319927845004114,-0.8333583767590657,-0.28951944045575745,0.9555175049506883,0.002576700753106006,-0.05013718478410666,0.29063021358414276,3.342944305811173,0.14005125169231322,12.211491977569658,1.0,1.0,-0.015891173015777412,-9.616926073502727e-05,-0.0012205995958179568,0.0015784495600188705
4,1.7802096545169024,False,False,0.8350060537873644,0.3104129216728591,1.0899874352061136,0.9533439895128557,0.026476793688173034,0.015786364913836354,0.30030818793118685,-0.5474513821570545,0.4740651568830688,12.239043933531384,1.0,1.0,-0.015891173015777412,-0.016339505330490812,0.0010311879072216652,0.008779430868733964
5,1.7973911554891844,False,False,-0.9142032755224471,-0.04060499642168453,0.903478396915183,0.9455792558168611,-0.01175515556355667,-0.0123861729215651,0.3249434874049101,1.1005352205079297,0.7974781463001823,11.28638782148144,1.0,1.0,-0.01935125499952198,-0.016339505330490812,0.013128431741669649,0.002942566253734076
6,1.6388688000157194,False,False,0.7289461599931382,0.1616334522160259,0.9920046947370328,0.9362606171287399,0.007919397611967917,0.005145358618050458,0.35117924944373724,-0.4441346263414327,-0.1276812168684936,13.207970412142616,1.0,1.0,-0.01935125499952198,-0.021057308026728633,0.006095947811428314,0.010212034570006138
7,1.696120095322334,False,False,-0.904972336063612,0.1360845352315791,0.43962676943668716,0.9301288456996579,-0.016821505132531393,-0.0054235395782384005,0.36680778696879024,0.7219517322992215,0.04155510674621276,11.451141812617754,1.0,1.0,-0.025837087950964316,-0.021057308026728633,0.018671337450799283,0.002582038716064241
8,1.7866697789008197,False,False,1.2323230770793911,-1.0029005578556451,0.7241448568604544,0.9223926191536979,0.028770362489018465,-0.006442486657632125,0.3851267541195991,1.504799906567528,0.03729319353556506,14.188633127618846,1.0,1.0,-0.025837087950964316,-0.03753007683168848,0.02700483765200591,0.017975658079475876
9,2.1120685812758815,False,False,-0.8019202149771408,0.11678197014744213,-2.247540791223969,0.9567172356122343,-0.02391716460457514,0.013222696967343121,0.28973308510536394,-1.6758369395874098,0.915725876288112,9.11163059633556,1.0,1.0,-0.03637128528570635,-0.03753007683168848,0.03192357455707207,0.029917595114305598
