iteration,reward_mean,episode_len_mean,sample_time_s,learn_time_s,elapsed_time_s,iter_time_s
0,-3.3906575813864666,5.935185185185186,0.0,0.0,970.3256530761719,970.303585767746
1,-2.8764016060456234,6.12962962962963,0.0,0.0,1948.1632301807404,977.8243820667267
2,-2.638460774828105,6.101851851851851,0.0,0.0,2914.4147696495056,966.2322056293488
3,-1.1129110814208214,6.8425925925925934,0.0,0.0,3893.2422835826874,978.809136390686
4,-1.6860071377173698,6.527777777777778,0.0,0.0,4877.529844999313,984.2617013454437
5,-1.0795022223491604,6.666666666666667,0.0,0.0,5837.071169614792,959.5239946842194
6,-0.32297251108751085,7.1796296296296305,0.0,0.0,6780.951591730118,943.8641147613525
7,0.397300802073138,7.559259259259258,0.0,0.0,7722.951560020447,941.9851293563843
8,1.5225377421444117,8.012962962962964,0.0,0.0,8670.666422843933,947.6969859600067
9,1.7165914571051197,7.903703703703703,0.0,0.0,9613.229432582855,942.5465943813324
10,2.934643689188226,8.455555555555556,0.0,0.0,10564.498391866684,951.2296125888824
11,3.6649373535978964,8.65925925925926,0.0,0.0,11503.549669504166,939.0355415344238
12,3.2683359986301173,8.768518518518517,0.0,0.0,12438.836877346039,935.2723095417023
13,3.145602556910137,8.339814814814813,0.0,0.0,13391.982444286346,953.1310586929321
14,3.269947116848211,8.356481481481481,0.0,0.0,14339.704381227493,947.689591884613
15,3.673324619786595,8.40925925925926,0.0,0.0,15280.867554187775,941.1451513767242
16,3.665907859108923,8.310185185185183,0.0,0.0,16213.633293151855,932.7512979507446
17,3.8459381309409326,8.435185185185185,0.0,0.0,17146.14878129959,932.4969618320465
18,5.274196415997216,9.237037037037036,0.0,0.0,18081.482794046402,935.3140923976898
19,5.431078541095065,9.503703703703705,0.0,0.0,19028.571749448776,947.0712954998016
20,5.901957614978006,9.707407407407407,0.0,0.0,19968.044003009796,939.4363744258881
21,6.650744136758523,9.946296296296296,0.0,0.0,20920.745817422867,952.6862895488739
22,7.519496627214334,10.636111111111111,0.0,0.0,21901.448577404022,980.6892063617706
20,5.860369030349054,9.575000000000001,0.0,0.0,957.7738234996796,957.7545943260193
21,6.456296636530919,9.901851851851852,0.0,0.0,1898.0236999988556,940.2346107959747
22,6.582317880775904,9.823148148148148,0.0,0.0,2833.0819647312164,935.0436425209045
23,6.65016588993269,9.840740740740742,0.0,0.0,3766.3440384864807,933.2448492050171
24,7.544285897594449,10.355555555555556,0.0,0.0,4697.791986942291,931.432008266449
25,7.8670198819583845,10.887037037037036,0.0,0.0,5626.446179151535,928.6365873813629
26,8.670498305825912,11.330555555555556,0.0,0.0,6547.237964630127,920.7766599655151
27,8.467498523395614,11.266666666666666,0.0,0.0,7478.2061557769775,930.954226732254
28,8.606402165606639,11.30462962962963,0.0,0.0,8415.898699998856,937.672548532486
29,10.634192914227546,12.249074074074073,0.0,0.0,9356.934228181839,941.0216884613037
30,10.661518100275995,11.972222222222223,0.0,0.0,10275.601604700089,918.6245131492615
31,11.883559326395034,12.53888888888889,0.0,0.0,11222.748438358307,947.1316168308258
32,12.665696852860323,12.948148148148148,0.0,0.0,12140.386441469193,917.6242673397064
33,11.557174903510939,12.695370370370371,0.0,0.0,13064.02240562439,923.6175799369812
34,12.750828461239132,13.237037037037036,0.0,0.0,13995.14979338646,931.108188867569
35,14.012229293891954,14.279629629629628,0.0,0.0,14918.422856807709,923.2574565410614
36,14.32123637967065,14.725000000000001,0.0,0.0,15839.721705675125,921.2860231399536
37,14.115306298844075,14.444444444444445,0.0,0.0,16767.348289966583,927.6085307598114
38,15.827976951510228,15.61574074074074,0.0,0.0,17682.97675180435,915.6118474006653
39,17.262628013092183,16.12962962962963,0.0,0.0,18596.566274642944,913.5735688209534
40,17.980281603120936,16.35185185185185,0.0,0.0,19520.47620487213,923.8770177364349
41,17.86457881708175,16.319444444444446,0.0,0.0,20447.091089487076,926.5979297161102
42,16.567217277741477,15.745370370370372,0.0,0.0,21372.095767259598,924.9869372844696
43,16.5948773935136,15.76388888888889,0.0,0.0,22291.92670607567,919.810063123703
44,17.276052393868994,15.550925925925927,0.0,0.0,23214.93458724022,922.9931464195251
45,16.762971312191507,15.875,0.0,0.0,24139.915786504745,924.9661982059479
46,20.201963167221432,17.759259259259256,0.0,0.0,25058.45240354538,918.5050611495972
47,17.681541072530603,15.657407407407407,0.0,0.0,25987.910283088684,929.4414429664612
48,18.573297742728077,16.708333333333336,0.0,0.0,26909.70992541313,921.7856845855713
49,19.283462885669596,17.125,0.0,0.0,27838.97354531288,929.2466826438904
50,18.841929031929293,16.893518518518515,0.0,0.0,28755.75607395172,916.7430725097656
51,16.88376035501639,15.57037037037037,0.0,0.0,29677.310007333755,921.5364782810211
52,16.918045615402526,15.324074074074076,0.0,0.0,30609.796832561493,932.4637205600739
53,18.907290938484937,16.319444444444446,0.0,0.0,31530.279753923416,920.4653577804565
54,20.829428068670182,17.814814814814813,0.0,0.0,32463.293672561646,932.9975538253784
55,19.372940168677182,16.842592592592595,0.0,0.0,33385.933418512344,922.6242175102234
56,18.54239625482359,16.26851851851852,0.0,0.0,34308.380655288696,922.4264385700226
