iteration,reward_mean,episode_len_mean,sample_time_s,learn_time_s,elapsed_time_s,iter_time_s
0,-3.3906575813864666,5.935185185185186,0.0,0.0,970.3256530761719,970.303585767746
1,-2.8764016060456234,6.12962962962963,0.0,0.0,1948.1632301807404,977.8243820667267
2,-2.638460774828105,6.101851851851851,0.0,0.0,2914.4147696495056,966.2322056293488
3,-1.1129110814208214,6.8425925925925934,0.0,0.0,3893.2422835826874,978.809136390686
4,-1.6860071377173698,6.527777777777778,0.0,0.0,4877.529844999313,984.2617013454437
5,-1.0795022223491604,6.666666666666667,0.0,0.0,5837.071169614792,959.5239946842194
6,-0.32297251108751085,7.1796296296296305,0.0,0.0,6780.951591730118,943.8641147613525
7,0.397300802073138,7.559259259259258,0.0,0.0,7722.951560020447,941.9851293563843
8,1.5225377421444117,8.012962962962964,0.0,0.0,8670.666422843933,947.6969859600067
9,1.7165914571051197,7.903703703703703,0.0,0.0,9613.229432582855,942.5465943813324
10,2.934643689188226,8.455555555555556,0.0,0.0,10564.498391866684,951.2296125888824
11,3.6649373535978964,8.65925925925926,0.0,0.0,11503.549669504166,939.0355415344238
12,3.2683359986301173,8.768518518518517,0.0,0.0,12438.836877346039,935.2723095417023
13,3.145602556910137,8.339814814814813,0.0,0.0,13391.982444286346,953.1310586929321
14,3.269947116848211,8.356481481481481,0.0,0.0,14339.704381227493,947.689591884613
15,3.673324619786595,8.40925925925926,0.0,0.0,15280.867554187775,941.1451513767242
16,3.665907859108923,8.310185185185183,0.0,0.0,16213.633293151855,932.7512979507446
17,3.8459381309409326,8.435185185185185,0.0,0.0,17146.14878129959,932.4969618320465
18,5.274196415997216,9.237037037037036,0.0,0.0,18081.482794046402,935.3140923976898
19,5.431078541095065,9.503703703703705,0.0,0.0,19028.571749448776,947.0712954998016
20,5.901957614978006,9.707407407407407,0.0,0.0,19968.044003009796,939.4363744258881
21,6.650744136758523,9.946296296296296,0.0,0.0,20920.745817422867,952.6862895488739
22,7.519496627214334,10.636111111111111,0.0,0.0,21901.448577404022,980.6892063617706
